bfs RESULTS           ,                       ,
depth                 ,expanded_nodes         ,max_fringe_size
1                     ,3                      ,2
13                    ,1042050                ,14
5                     ,137                    ,6
7                     ,1603                   ,8
9                     ,8633                   ,10
11                    ,92167                  ,12
9                     ,8313                   ,10
5                     ,233                    ,6
1                     ,3                      ,2
9                     ,11699                  ,10
5                     ,249                    ,6
5                     ,258                    ,6
5                     ,263                    ,6
7                     ,1705                   ,8
9                     ,12935                  ,10
11                    ,90547                  ,12
7                     ,1106                   ,8
3                     ,26                     ,4
7                     ,2222                   ,8
9                     ,16377                  ,10
1                     ,2                      ,1
7                     ,1262                   ,8
11                    ,97874                  ,12
3                     ,19                     ,4
11                    ,109507                 ,12
9                     ,8322                   ,10
13                    ,646643                 ,14
9                     ,8819                   ,10
9                     ,12930                  ,10
7                     ,1529                   ,8
7                     ,1145                   ,8
11                    ,110513                 ,12
7                     ,967                    ,8
3                     ,26                     ,4
11                    ,111091                 ,12
7                     ,1267                   ,8
9                     ,14003                  ,10
13                    ,716754                 ,14
9                     ,11502                  ,10
15                    ,5965442                ,16
7                     ,2222                   ,8
1                     ,2                      ,1
9                     ,7673                   ,10
9                     ,15299                  ,10
5                     ,233                    ,6
17                    ,69133233               ,18
7                     ,2035                   ,8
7                     ,1490                   ,8
5                     ,177                    ,6
9                     ,8579                   ,10
9                     ,16761                  ,10
9                     ,13481                  ,10
9                     ,8579                   ,10
9                     ,8913                   ,10
1                     ,3                      ,2
3                     ,26                     ,4
9                     ,13422                  ,10
5                     ,177                    ,6
5                     ,137                    ,6
7                     ,1745                   ,8
9                     ,16583                  ,10
9                     ,16722                  ,10
1                     ,2                      ,1
9                     ,11843                  ,10
9                     ,8622                   ,10
3                     ,19                     ,4
3                     ,19                     ,4
19                    ,252241538              ,20
13                    ,979566                 ,14
7                     ,1529                   ,8
7                     ,1927                   ,8
5                     ,131                    ,6
7                     ,2035                   ,8
5                     ,177                    ,6
9                     ,12329                  ,10
11                    ,70577                  ,12
9                     ,8327                   ,10
1                     ,2                      ,1
11                    ,68690                  ,12
7                     ,1745                   ,8
7                     ,1913                   ,8
11                    ,90233                  ,12
5                     ,137                    ,6
11                    ,93266                  ,12
3                     ,31                     ,4
5                     ,210                    ,6
7                     ,967                    ,8
9                     ,16878                  ,10
1                     ,2                      ,1
13                    ,1140738                ,14
11                    ,77945                  ,12
7                     ,1106                   ,8
11                    ,97841                  ,12
7                     ,914                    ,8
11                    ,119345                 ,12
3                     ,26                     ,4
9                     ,13521                  ,10
11                    ,111625                 ,12
7                     ,2035                   ,8
11                    ,93905                  ,12
9                     ,8435                   ,10
7                     ,1490                   ,8
9                     ,8313                   ,10
17                    ,61095299               ,18
9                     ,13481                  ,10
11                    ,89203                  ,12
7                     ,1745                   ,8
5                     ,179                    ,6
5                     ,233                    ,6
7                     ,914                    ,8
3                     ,19                     ,4
5                     ,263                    ,6
7                     ,2035                   ,8
5                     ,210                    ,6
15                    ,9155666                ,16
1                     ,2                      ,1
1                     ,3                      ,2
7                     ,2179                   ,8
3                     ,14                     ,4
7                     ,1682                   ,8
9                     ,16391                  ,10
7                     ,2030                   ,8
7                     ,1705                   ,8
11                    ,110513                 ,12
13                    ,1016529                ,14
5                     ,258                    ,6
5                     ,233                    ,6
13                    ,717177                 ,14
13                    ,468473                 ,14
7                     ,1913                   ,8
7                     ,1922                   ,8
9                     ,13650                  ,10
13                    ,852467                 ,14
9                     ,9209                   ,10
9                     ,8913                   ,10
5                     ,179                    ,6
9                     ,16883                  ,10
7                     ,1454                   ,8
7                     ,2030                   ,8
5                     ,131                    ,6
3                     ,26                     ,4
13                    ,884433                 ,14
11                    ,109123                 ,12
7                     ,1459                   ,8
7                     ,1033                   ,8
7                     ,967                    ,8
11                    ,58370                  ,12
9                     ,15401                  ,10
7                     ,1262                   ,8
11                    ,92153                  ,12
13                    ,586350                 ,14
11                    ,78841                  ,12
7                     ,1543                   ,8
9                     ,16338                  ,10
13                    ,1119618                ,14
13                    ,865713                 ,14
1                     ,2                      ,1
7                     ,1646                   ,8
9                     ,16002                  ,10
15                    ,5965321                ,16
13                    ,893649                 ,14
7                     ,1529                   ,8
11                    ,103465                 ,12
1                     ,3                      ,2
7                     ,967                    ,8
19                    ,323199475              ,20
7                     ,2035                   ,8
5                     ,263                    ,6
9                     ,10242                  ,10
15                    ,3928585                ,16
15                    ,8561779                ,16
3                     ,26                     ,4
13                    ,861191                 ,14
7                     ,1874                   ,8
3                     ,26                     ,4
9                     ,11154                  ,10
7                     ,2041                   ,8
9                     ,8771                   ,10
5                     ,174                    ,6
7                     ,1913                   ,8
9                     ,15954                  ,10
3                     ,25                     ,4
9                     ,8627                   ,10
11                    ,134083                 ,12
15                    ,4320338                ,16
1                     ,2                      ,1
5                     ,179                    ,6
5                     ,137                    ,6
9                     ,8430                   ,10
9                     ,16530                  ,10
11                    ,92081                  ,12
5                     ,131                    ,6
11                    ,95923                  ,12
9                     ,10247                  ,10
9                     ,11694                  ,10
9                     ,11694                  ,10
7                     ,2179                   ,8
21                    ,2024078777             ,22
5                     ,177                    ,6
7                     ,1913                   ,8
11                    ,78067                  ,12
7                     ,1106                   ,8
11                    ,122417                 ,12
5                     ,263                    ,6
3                     ,19                     ,4
11                    ,92167                  ,12
5                     ,258                    ,6
9                     ,8430                   ,10
3                     ,14                     ,4
5                     ,174                    ,6
3                     ,25                     ,4
9                     ,8274                   ,10
9                     ,16583                  ,10
13                    ,762990                 ,14
3                     ,17                     ,4
9                     ,11730                  ,10
15                    ,8940487                ,16
7                     ,1159                   ,8
5                     ,137                    ,6
3                     ,26                     ,4
9                     ,13506                  ,10
9                     ,9863                   ,10
17                    ,41385347               ,18
3                     ,19                     ,4
5                     ,263                    ,6
5                     ,249                    ,6
5                     ,210                    ,6
7                     ,914                    ,8
9                     ,9257                   ,10
3                     ,26                     ,4
13                    ,893363                 ,14
13                    ,726702                 ,14
5                     ,131                    ,6
3                     ,25                     ,4
3                     ,14                     ,4
1                     ,2                      ,1
9                     ,13521                  ,10
9                     ,9863                   ,10
9                     ,15921                  ,10
9                     ,16770                  ,10
1                     ,3                      ,2
7                     ,914                    ,8
5                     ,179                    ,6
7                     ,1682                   ,8
9                     ,16305                  ,10
7                     ,1267                   ,8
15                    ,6903481                ,16
5                     ,179                    ,6
7                     ,1454                   ,8
9                     ,13650                  ,10
9                     ,11843                  ,10
7                     ,1987                   ,8
11                    ,127411                 ,12
7                     ,1465                   ,8
7                     ,1073                   ,8
7                     ,1646                   ,8
13                    ,566387                 ,14
3                     ,19                     ,4
5                     ,263                    ,6
13                    ,565289                 ,14
5                     ,263                    ,6
5                     ,131                    ,6
9                     ,15881                  ,10
5                     ,258                    ,6
9                     ,14009                  ,10
13                    ,767442                 ,14
3                     ,14                     ,4
5                     ,174                    ,6
3                     ,26                     ,4
11                    ,127417                 ,12
7                     ,1454                   ,8
11                    ,132206                 ,12
7                     ,1267                   ,8
7                     ,962                    ,8
5                     ,131                    ,6
5                     ,131                    ,6
7                     ,1927                   ,8
7                     ,1459                   ,8
1                     ,2                      ,1
5                     ,233                    ,6
7                     ,1411                   ,8
5                     ,258                    ,6
3                     ,26                     ,4
3                     ,25                     ,4
9                     ,8627                   ,10
5                     ,233                    ,6
3                     ,25                     ,4
11                    ,77906                  ,12
9                     ,13817                  ,10
5                     ,179                    ,6
5                     ,249                    ,6
7                     ,1073                   ,8
7                     ,2030                   ,8
7                     ,2222                   ,8
9                     ,11705                  ,10
13                    ,1081385                ,14
5                     ,177                    ,6
7                     ,1745                   ,8
7                     ,1159                   ,8
1                     ,3                      ,2
9                     ,13481                  ,10
5                     ,258                    ,6
3                     ,31                     ,4
3                     ,14                     ,4
3                     ,17                     ,4
7                     ,1454                   ,8
3                     ,25                     ,4
3                     ,19                     ,4
7                     ,1262                   ,8
7                     ,1874                   ,8
9                     ,9863                   ,10
7                     ,1159                   ,8
7                     ,1267                   ,8
13                    ,528945                 ,14
7                     ,1651                   ,8
5                     ,258                    ,6
7                     ,1735                   ,8
7                     ,1411                   ,8
5                     ,263                    ,6
5                     ,185                    ,6
7                     ,962                    ,8
13                    ,537641                 ,14
7                     ,1411                   ,8
9                     ,13698                  ,10
11                    ,74066                  ,12
5                     ,249                    ,6
5                     ,131                    ,6
11                    ,78841                  ,12
15                    ,4563374                ,16
11                    ,66499                  ,12
5                     ,185                    ,6
13                    ,954450                 ,14
13                    ,819921                 ,14
11                    ,92081                  ,12
11                    ,94769                  ,12
3                     ,17                     ,4
3                     ,26                     ,4
5                     ,263                    ,6
5                     ,179                    ,6
7                     ,2035                   ,8
13                    ,893550                 ,14
13                    ,721961                 ,14
7                     ,1073                   ,8
13                    ,529799                 ,14
7                     ,1646                   ,8
13                    ,717186                 ,14
9                     ,7721                   ,10
11                    ,93427                  ,12
3                     ,14                     ,4
9                     ,10233                  ,10
7                     ,2035                   ,8
17                    ,73179513               ,18
17                    ,54998009               ,18
5                     ,131                    ,6
11                    ,107527                 ,12
3                     ,19                     ,4
7                     ,1154                   ,8
5                     ,179                    ,6
3                     ,19                     ,4
13                    ,733571                 ,14
5                     ,233                    ,6
3                     ,26                     ,4
5                     ,177                    ,6
9                     ,14009                  ,10
9                     ,16883                  ,10
3                     ,25                     ,4
9                     ,11202                  ,10
7                     ,1745                   ,8
9                     ,13703                  ,10
13                    ,1073651                ,14
13                    ,782771                 ,14
9                     ,13811                  ,10
5                     ,258                    ,6
1                     ,2                      ,1
7                     ,1927                   ,8
7                     ,1987                   ,8
7                     ,1705                   ,8
7                     ,1454                   ,8
7                     ,1454                   ,8
11                    ,107635                 ,12
9                     ,9737                   ,10
7                     ,1073                   ,8
5                     ,263                    ,6
11                    ,59065                  ,12
9                     ,13422                  ,10
5                     ,131                    ,6
5                     ,185                    ,6
7                     ,1073                   ,8
3                     ,26                     ,4
7                     ,1459                   ,8
7                     ,1987                   ,8
7                     ,1454                   ,8
7                     ,1459                   ,8
15                    ,9105907                ,16
9                     ,13506                  ,10
5                     ,273                    ,6
average depth         ,average expanded nodes ,average fringe size
7.708                 ,6086201.994            ,8.678
DFS RESULTS           ,                       ,
depth                 ,expanded_nodes         ,max_fringe_size
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
433                   ,441                    ,555
833                   ,853                    ,1070
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
433                   ,441                    ,555
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
867                   ,883                    ,1106
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
59                    ,61                     ,79
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,439                    ,554
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
29                    ,31                     ,41
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,442                    ,557
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
461                   ,472                    ,592
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
833                   ,853                    ,1070
463                   ,472                    ,592
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
371                   ,378                    ,476
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
433                   ,441                    ,555
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
433                   ,441                    ,555
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,439                    ,554
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,442                    ,557
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
433                   ,441                    ,555
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
833                   ,853                    ,1070
833                   ,853                    ,1070
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,439                    ,554
0                     ,0                      ,0
463                   ,472                    ,592
0                     ,0                      ,0
0                     ,0                      ,0
897                   ,916                    ,1148
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
867                   ,883                    ,1105
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
61                    ,63                     ,81
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
59                    ,61                     ,79
897                   ,916                    ,1147
0                     ,0                      ,0
833                   ,853                    ,1070
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
433                   ,441                    ,555
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
897                   ,916                    ,1147
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
59                    ,61                     ,79
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
463                   ,472                    ,592
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,439                    ,554
0                     ,0                      ,0
433                   ,441                    ,555
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
867                   ,883                    ,1105
0                     ,0                      ,0
29                    ,31                     ,41
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
59                    ,61                     ,79
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
463                   ,472                    ,592
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
867                   ,883                    ,1105
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
29                    ,31                     ,41
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,439                    ,553
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
463                   ,472                    ,592
29                    ,31                     ,41
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
433                   ,441                    ,555
0                     ,0                      ,0
59                    ,61                     ,80
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,442                    ,557
0                     ,0                      ,0
59                    ,61                     ,79
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
833                   ,853                    ,1070
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
463                   ,472                    ,592
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
897                   ,916                    ,1147
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
29                    ,31                     ,41
0                     ,0                      ,0
897                   ,916                    ,1147
29                    ,31                     ,41
0                     ,0                      ,0
0                     ,0                      ,0
59                    ,61                     ,79
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
433                   ,441                    ,555
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,439                    ,553
0                     ,0                      ,0
29                    ,31                     ,41
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
461                   ,472                    ,592
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
463                   ,472                    ,592
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
431                   ,439                    ,553
0                     ,0                      ,0
0                     ,0                      ,0
59                    ,61                     ,80
61                    ,63                     ,81
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
463                   ,472                    ,592
0                     ,0                      ,0
833                   ,853                    ,1070
0                     ,0                      ,0
59                    ,61                     ,79
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
29                    ,31                     ,41
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
0                     ,0                      ,0
average depth         ,average expanded nodes ,average fringe size
428.8153846           ,438.0307692            ,550.5692308
