bfs RESULTS           ,                       ,
depth                 ,expanded_nodes         ,max_fringe_size
13                    ,2180                   ,2309
11                    ,900                    ,938
7                     ,140                    ,165
9                     ,456                    ,478
13                    ,3247                   ,3244
13                    ,2832                   ,2887
1                     ,2                      ,3
7                     ,148                    ,154
9                     ,473                    ,488
15                    ,6544                   ,6588
13                    ,3021                   ,3053
7                     ,135                    ,163
11                    ,1093                   ,1108
1                     ,3                      ,6
7                     ,118                    ,137
19                    ,32739                  ,28389
7                     ,179                    ,193
5                     ,60                     ,71
9                     ,354                    ,390
15                    ,5559                   ,5737
15                    ,8231                   ,7923
3                     ,14                     ,22
13                    ,2888                   ,2939
7                     ,158                    ,180
3                     ,14                     ,22
9                     ,349                    ,371
7                     ,172                    ,179
9                     ,294                    ,325
5                     ,42                     ,48
7                     ,165                    ,186
9                     ,456                    ,478
3                     ,16                     ,19
9                     ,324                    ,345
11                    ,1256                   ,1265
15                    ,5547                   ,5739
1                     ,2                      ,3
5                     ,44                     ,49
5                     ,34                     ,43
9                     ,314                    ,338
9                     ,464                    ,484
11                    ,964                    ,1011
5                     ,36                     ,43
11                    ,1045                   ,1079
9                     ,358                    ,391
9                     ,377                    ,387
9                     ,377                    ,387
7                     ,172                    ,189
21                    ,61244                  ,46041
5                     ,43                     ,57
7                     ,165                    ,186
11                    ,878                    ,926
7                     ,117                    ,143
11                    ,1178                   ,1202
5                     ,60                     ,71
3                     ,12                     ,16
11                    ,966                    ,1011
5                     ,56                     ,70
9                     ,314                    ,338
3                     ,10                     ,16
5                     ,42                     ,48
3                     ,16                     ,19
9                     ,294                    ,327
9                     ,472                    ,490
13                    ,2670                   ,2742
3                     ,11                     ,18
9                     ,386                    ,415
15                    ,8053                   ,7787
7                     ,121                    ,145
5                     ,34                     ,43
3                     ,14                     ,22
9                     ,419                    ,447
9                     ,341                    ,374
17                    ,14833                  ,14238
3                     ,12                     ,16
5                     ,60                     ,71
5                     ,55                     ,69
5                     ,48                     ,63
7                     ,106                    ,129
9                     ,320                    ,349
3                     ,14                     ,21
13                    ,2993                   ,3027
13                    ,2615                   ,2703
5                     ,36                     ,43
3                     ,16                     ,19
3                     ,10                     ,16
1                     ,2                      ,3
9                     ,417                    ,430
9                     ,341                    ,374
9                     ,470                    ,484
9                     ,478                    ,496
1                     ,3                      ,6
7                     ,106                    ,129
5                     ,44                     ,49
7                     ,144                    ,169
9                     ,452                    ,476
7                     ,129                    ,143
15                    ,7170                   ,7111
5                     ,44                     ,49
7                     ,141                    ,150
9                     ,421                    ,447
9                     ,386                    ,392
7                     ,168                    ,176
11                    ,1203                   ,1210
7                     ,146                    ,153
7                     ,112                    ,137
7                     ,148                    ,154
13                    ,2079                   ,2223
3                     ,12                     ,16
5                     ,60                     ,71
13                    ,2309                   ,2427
5                     ,60                     ,71
5                     ,36                     ,43
9                     ,443                    ,461
5                     ,56                     ,70
9                     ,441                    ,460
13                    ,2732                   ,2803
3                     ,10                     ,16
5                     ,42                     ,48
3                     ,14                     ,22
11                    ,1206                   ,1212
7                     ,141                    ,150
11                    ,1226                   ,1235
7                     ,129                    ,143
7                     ,114                    ,136
5                     ,36                     ,43
5                     ,36                     ,43
7                     ,168                    ,187
7                     ,143                    ,151
1                     ,2                      ,3
5                     ,54                     ,60
7                     ,136                    ,147
5                     ,56                     ,70
3                     ,14                     ,22
3                     ,16                     ,19
9                     ,324                    ,345
5                     ,54                     ,60
3                     ,16                     ,19
11                    ,868                    ,919
9                     ,424                    ,434
5                     ,44                     ,49
5                     ,55                     ,69
7                     ,112                    ,137
7                     ,166                    ,176
7                     ,177                    ,192
9                     ,382                    ,388
13                    ,3364                   ,3335
5                     ,43                     ,57
7                     ,163                    ,172
7                     ,121                    ,145
1                     ,3                      ,6
9                     ,410                    ,418
5                     ,56                     ,70
3                     ,18                     ,23
3                     ,10                     ,16
3                     ,11                     ,18
7                     ,141                    ,150
3                     ,16                     ,19
3                     ,12                     ,16
7                     ,127                    ,142
7                     ,158                    ,180
9                     ,341                    ,374
7                     ,121                    ,145
7                     ,129                    ,143
13                    ,2030                   ,2189
7                     ,150                    ,155
5                     ,56                     ,70
7                     ,154                    ,176
7                     ,136                    ,147
5                     ,60                     ,71
5                     ,48                     ,52
7                     ,114                    ,136
13                    ,2149                   ,2284
7                     ,136                    ,147
9                     ,425                    ,452
11                    ,889                    ,944
5                     ,55                     ,69
5                     ,36                     ,43
11                    ,900                    ,938
15                    ,5410                   ,5611
11                    ,791                    ,852
5                     ,48                     ,52
13                    ,2951                   ,2989
13                    ,2750                   ,2820
11                    ,964                    ,1011
11                    ,1007                   ,1050
3                     ,11                     ,18
3                     ,14                     ,21
5                     ,60                     ,71
5                     ,44                     ,49
7                     ,168                    ,176
13                    ,3006                   ,3035
13                    ,2522                   ,2618
7                     ,112                    ,138
13                    ,2055                   ,2211
7                     ,148                    ,154
13                    ,2461                   ,2577
9                     ,319                    ,350
11                    ,1016                   ,1048
3                     ,10                     ,16
9                     ,353                    ,389
7                     ,179                    ,193
17                    ,19821                  ,17895
17                    ,16847                  ,15787
5                     ,36                     ,43
11                    ,1067                   ,1101
3                     ,12                     ,16
7                     ,114                    ,136
5                     ,44                     ,49
3                     ,12                     ,16
13                    ,2490                   ,2594
5                     ,54                     ,60
3                     ,14                     ,22
5                     ,43                     ,57
9                     ,441                    ,460
9                     ,489                    ,501
3                     ,16                     ,19
9                     ,356                    ,376
7                     ,163                    ,172
9                     ,429                    ,453
13                    ,3291                   ,3274
13                    ,2650                   ,2729
9                     ,420                    ,431
5                     ,56                     ,70
1                     ,2                      ,3
7                     ,168                    ,187
7                     ,168                    ,176
7                     ,158                    ,163
7                     ,141                    ,150
7                     ,141                    ,150
11                    ,1103                   ,1121
9                     ,326                    ,358
7                     ,112                    ,138
5                     ,60                     ,71
11                    ,817                    ,874
9                     ,402                    ,412
5                     ,36                     ,43
5                     ,48                     ,52
7                     ,112                    ,138
3                     ,14                     ,22
7                     ,143                    ,151
7                     ,168                    ,176
7                     ,141                    ,150
7                     ,143                    ,151
15                    ,8262                   ,7967
9                     ,413                    ,442
5                     ,59                     ,69
average depth         ,average expanded nodes ,average fringe size
7.708                 ,1100.202               ,1057.446
UCS RESULTS           ,                       ,
depth                 ,expanded_nodes         ,max_fringe_size
13                    ,3198                   ,3197
11                    ,1076                   ,1109
9                     ,324                    ,344
1                     ,3                      ,5
3                     ,12                     ,15
1                     ,2                      ,2
7                     ,150                    ,154
7                     ,154                    ,175
7                     ,158                    ,179
7                     ,117                    ,143
11                    ,1016                   ,1057
5                     ,34                     ,42
1                     ,2                      ,2
7                     ,141                    ,149
9                     ,421                    ,446
11                    ,935                    ,969
1                     ,3                      ,5
5                     ,34                     ,42
13                    ,2110                   ,2254
7                     ,154                    ,175
9                     ,419                    ,446
3                     ,12                     ,15
9                     ,358                    ,390
15                    ,6122                   ,6209
11                    ,990                    ,1032
9                     ,400                    ,428
11                    ,861                    ,912
9                     ,415                    ,426
15                    ,8042                   ,7763
7                     ,177                    ,191
9                     ,302                    ,332
7                     ,113                    ,134
7                     ,140                    ,164
7                     ,172                    ,178
5                     ,54                     ,59
5                     ,44                     ,48
9                     ,327                    ,345
1                     ,2                      ,2
5                     ,42                     ,47
9                     ,487                    ,499
11                    ,1028                   ,1067
9                     ,464                    ,483
7                     ,112                    ,137
9                     ,402                    ,412
7                     ,163                    ,184
5                     ,48                     ,62
5                     ,54                     ,59
5                     ,60                     ,70
13                    ,3083                   ,3108
5                     ,48                     ,51
7                     ,144                    ,168
7                     ,135                    ,162
15                    ,8119                   ,7826
11                    ,1194                   ,1203
3                     ,14                     ,20
13                    ,3221                   ,3223
3                     ,16                     ,18
9                     ,305                    ,333
9                     ,368                    ,379
5                     ,34                     ,42
7                     ,106                    ,128
9                     ,356                    ,375
9                     ,464                    ,475
15                    ,7868                   ,7645
7                     ,114                    ,135
7                     ,179                    ,192
7                     ,129                    ,142
9                     ,382                    ,387
3                     ,10                     ,15
9                     ,314                    ,337
11                    ,1244                   ,1249
7                     ,150                    ,154
3                     ,14                     ,20
3                     ,10                     ,15
11                    ,921                    ,966
7                     ,166                    ,186
7                     ,127                    ,141
13                    ,2621                   ,2712
5                     ,34                     ,42
1                     ,2                      ,2
5                     ,48                     ,62
11                    ,975                    ,1020
7                     ,106                    ,128
13                    ,3149                   ,3156
13                    ,2803                   ,2857
11                    ,1289                   ,1300
3                     ,12                     ,15
5                     ,36                     ,42
7                     ,154                    ,175
5                     ,48                     ,51
13                    ,3029                   ,3052
11                    ,1076                   ,1094
9                     ,426                    ,451
7                     ,112                    ,137
3                     ,18                     ,22
11                    ,1016                   ,1047
11                    ,933                    ,968
3                     ,14                     ,20
11                    ,885                    ,929
7                     ,132                    ,160
15                    ,6653                   ,6644
9                     ,438                    ,457
7                     ,163                    ,184
3                     ,18                     ,22
1                     ,3                      ,5
13                    ,3097                   ,3125
5                     ,34                     ,42
7                     ,150                    ,154
9                     ,327                    ,345
11                    ,966                    ,1010
9                     ,301                    ,332
5                     ,54                     ,59
1                     ,3                      ,5
9                     ,379                    ,387
5                     ,55                     ,68
5                     ,56                     ,69
5                     ,60                     ,70
7                     ,158                    ,162
9                     ,409                    ,436
11                    ,979                    ,1010
7                     ,106                    ,128
3                     ,14                     ,20
7                     ,177                    ,191
9                     ,487                    ,500
1                     ,2                      ,2
7                     ,127                    ,141
11                    ,1012                   ,1055
3                     ,12                     ,15
11                    ,1131                   ,1150
9                     ,301                    ,331
13                    ,2403                   ,2517
9                     ,331                    ,347
9                     ,405                    ,435
7                     ,135                    ,162
7                     ,113                    ,134
11                    ,1103                   ,1135
7                     ,118                    ,136
3                     ,14                     ,21
11                    ,1130                   ,1153
7                     ,129                    ,142
9                     ,438                    ,457
13                    ,2440                   ,2560
9                     ,368                    ,379
15                    ,6486                   ,6546
7                     ,177                    ,191
1                     ,2                      ,2
9                     ,315                    ,344
9                     ,451                    ,462
5                     ,54                     ,59
17                    ,19808                  ,17900
7                     ,179                    ,192
7                     ,136                    ,162
5                     ,43                     ,56
9                     ,318                    ,341
9                     ,477                    ,494
9                     ,410                    ,417
9                     ,318                    ,341
9                     ,306                    ,337
1                     ,3                      ,5
3                     ,14                     ,20
9                     ,402                    ,411
5                     ,43                     ,56
5                     ,34                     ,42
7                     ,163                    ,171
9                     ,472                    ,489
9                     ,472                    ,489
1                     ,2                      ,2
9                     ,386                    ,391
9                     ,322                    ,342
3                     ,12                     ,15
3                     ,12                     ,15
19                    ,30725                  ,27186
13                    ,3085                   ,3088
7                     ,135                    ,162
7                     ,168                    ,186
5                     ,36                     ,42
7                     ,179                    ,192
5                     ,43                     ,56
9                     ,396                    ,402
11                    ,868                    ,925
9                     ,305                    ,333
1                     ,2                      ,2
11                    ,838                    ,898
7                     ,163                    ,171
7                     ,165                    ,185
11                    ,961                    ,999
5                     ,34                     ,42
11                    ,985                    ,1029
3                     ,18                     ,22
5                     ,48                     ,62
7                     ,118                    ,136
9                     ,487                    ,499
1                     ,2                      ,2
13                    ,3297                   ,3286
11                    ,875                    ,924
7                     ,117                    ,142
11                    ,1007                   ,1050
7                     ,106                    ,128
11                    ,1141                   ,1166
3                     ,14                     ,20
9                     ,417                    ,429
11                    ,1144                   ,1163
7                     ,168                    ,175
11                    ,1043                   ,1072
9                     ,315                    ,337
7                     ,136                    ,162
9                     ,300                    ,330
17                    ,17991                  ,16630
9                     ,412                    ,420
11                    ,913                    ,958
7                     ,163                    ,171
5                     ,44                     ,48
5                     ,54                     ,59
7                     ,106                    ,128
3                     ,12                     ,15
5                     ,60                     ,70
7                     ,179                    ,192
5                     ,48                     ,62
15                    ,8438                   ,8096
1                     ,2                      ,2
1                     ,3                      ,5
7                     ,172                    ,188
3                     ,10                     ,15
7                     ,144                    ,168
9                     ,492                    ,502
7                     ,177                    ,191
7                     ,158                    ,162
11                    ,1103                   ,1135
13                    ,3170                   ,3173
5                     ,56                     ,69
5                     ,54                     ,59
13                    ,2457                   ,2575
13                    ,2083                   ,2225
7                     ,163                    ,184
7                     ,166                    ,186
9                     ,421                    ,446
13                    ,2867                   ,2918
9                     ,335                    ,350
9                     ,344                    ,364
5                     ,44                     ,48
9                     ,489                    ,500
7                     ,141                    ,149
7                     ,177                    ,191
5                     ,36                     ,42
3                     ,14                     ,20
13                    ,2891                   ,2929
11                    ,1119                   ,1138
7                     ,143                    ,150
7                     ,104                    ,126
7                     ,118                    ,136
11                    ,785                    ,851
9                     ,460                    ,469
7                     ,127                    ,141
11                    ,961                    ,1008
13                    ,2180                   ,2308
11                    ,900                    ,937
7                     ,140                    ,164
9                     ,456                    ,477
13                    ,3247                   ,3243
13                    ,2832                   ,2886
1                     ,2                      ,2
7                     ,148                    ,153
9                     ,473                    ,487
15                    ,6544                   ,6587
13                    ,3021                   ,3052
7                     ,135                    ,162
11                    ,1093                   ,1107
1                     ,3                      ,5
7                     ,118                    ,136
19                    ,32739                  ,28388
7                     ,179                    ,192
5                     ,60                     ,70
9                     ,354                    ,389
15                    ,5559                   ,5736
15                    ,8231                   ,7922
3                     ,14                     ,21
13                    ,2888                   ,2938
7                     ,158                    ,179
3                     ,14                     ,21
9                     ,349                    ,370
7                     ,172                    ,178
9                     ,294                    ,324
5                     ,42                     ,47
7                     ,165                    ,185
9                     ,456                    ,477
3                     ,16                     ,18
9                     ,324                    ,344
11                    ,1256                   ,1264
15                    ,5547                   ,5738
1                     ,2                      ,2
5                     ,44                     ,48
5                     ,34                     ,42
9                     ,314                    ,337
9                     ,464                    ,483
11                    ,964                    ,1010
5                     ,36                     ,42
11                    ,1045                   ,1078
9                     ,358                    ,390
9                     ,377                    ,386
9                     ,377                    ,386
7                     ,172                    ,188
21                    ,61244                  ,46040
5                     ,43                     ,56
7                     ,165                    ,185
11                    ,878                    ,925
7                     ,117                    ,142
11                    ,1178                   ,1201
5                     ,60                     ,70
3                     ,12                     ,15
11                    ,966                    ,1010
5                     ,56                     ,69
9                     ,314                    ,337
3                     ,10                     ,15
5                     ,42                     ,47
3                     ,16                     ,18
9                     ,294                    ,326
9                     ,472                    ,489
13                    ,2670                   ,2741
3                     ,11                     ,17
9                     ,386                    ,414
15                    ,8053                   ,7786
7                     ,121                    ,144
5                     ,34                     ,42
3                     ,14                     ,21
9                     ,419                    ,446
9                     ,341                    ,373
17                    ,14833                  ,14237
3                     ,12                     ,15
5                     ,60                     ,70
5                     ,55                     ,68
5                     ,48                     ,62
7                     ,106                    ,128
9                     ,320                    ,348
3                     ,14                     ,20
13                    ,2993                   ,3026
13                    ,2615                   ,2702
5                     ,36                     ,42
3                     ,16                     ,18
3                     ,10                     ,15
1                     ,2                      ,2
9                     ,417                    ,429
9                     ,341                    ,373
9                     ,470                    ,483
9                     ,478                    ,495
1                     ,3                      ,5
7                     ,106                    ,128
5                     ,44                     ,48
7                     ,144                    ,168
9                     ,452                    ,475
7                     ,129                    ,142
15                    ,7170                   ,7110
5                     ,44                     ,48
7                     ,141                    ,149
9                     ,421                    ,446
9                     ,386                    ,391
7                     ,168                    ,175
11                    ,1203                   ,1209
7                     ,146                    ,152
7                     ,112                    ,136
7                     ,148                    ,153
13                    ,2079                   ,2222
3                     ,12                     ,15
5                     ,60                     ,70
13                    ,2309                   ,2426
5                     ,60                     ,70
5                     ,36                     ,42
9                     ,443                    ,460
5                     ,56                     ,69
9                     ,441                    ,459
13                    ,2732                   ,2802
3                     ,10                     ,15
5                     ,42                     ,47
3                     ,14                     ,21
11                    ,1206                   ,1211
7                     ,141                    ,149
11                    ,1226                   ,1234
7                     ,129                    ,142
7                     ,114                    ,135
5                     ,36                     ,42
5                     ,36                     ,42
7                     ,168                    ,186
7                     ,143                    ,150
1                     ,2                      ,2
5                     ,54                     ,59
7                     ,136                    ,146
5                     ,56                     ,69
3                     ,14                     ,21
3                     ,16                     ,18
9                     ,324                    ,344
5                     ,54                     ,59
3                     ,16                     ,18
